date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:42	13577/13577	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2011:11:34%20GMT	https://dexico.templatekit.co/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://dexico.templatekit.co/)
10:51:43	7/7	---M--	200	added ('OK')	application/javascript	date:Mon,%2018%20Oct%202021%2011:21:21%20GMT	https://dexico.templatekit.co/wp-content/plugins/template-kit-export/public/assets/js/template-kit-export-public.min.js?ver=1.0.21	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/plugins/template-kit-export/public/assets/js/template-kit-export-public.min365c.js	(from https://dexico.templatekit.co/)
10:51:43	15055/15055	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Nov%202023%2003:54:18%20GMT	https://dexico.templatekit.co/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.17.3	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min8864.js	(from https://dexico.templatekit.co/)
10:51:44	226092/226092	---MCZ	200	added ('OK')	application/json	date:Mon,%2020%20Nov%202023%2003:51:45%20GMT	https://dexico.templatekit.co/wp-json/	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-json/index.html	(from https://dexico.templatekit.co/)
10:51:44	67681/67681	---MCZ	200	added ('OK')	application/json	date:Mon,%2020%20Nov%202023%2003:51:45%20GMT	https://dexico.templatekit.co/wp-json/wp/v2/pages/706	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-json/wp/v2/pages/706.json	(from https://dexico.templatekit.co/)
10:51:46	2594/2594	---MCZ	200	added ('OK')	application/json	date:Mon,%2020%20Nov%202023%2003:51:47%20GMT	https://dexico.templatekit.co/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdexico.templatekit.co%2F	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-json/oembed/1.0/embeddd44.json	(from https://dexico.templatekit.co/)
10:51:47	2769/2769	---MCZ	200	added ('OK')	text/xml	date:Mon,%2020%20Nov%202023%2003:51:47%20GMT	https://dexico.templatekit.co/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdexico.templatekit.co%2F&format=xml	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-json/oembed/1.0/embed3993	(from https://dexico.templatekit.co/)
10:51:47	18985/18985	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Nov%202021%2014:34:02%20GMT	https://dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/cropped-dexico_favicon-150x150.png	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/cropped-dexico_favicon-150x150.png	(from https://dexico.templatekit.co/)
10:51:48	64035/64035	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Nov%202021%2014:34:02%20GMT	https://dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/cropped-dexico_favicon-300x300.png	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/cropped-dexico_favicon-300x300.png	(from https://dexico.templatekit.co/)
10:51:48	2302/2302	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Nov%202021%2014:34:02%20GMT	https://dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/cropped-logo.png	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/cropped-logo.png	(from https://dexico.templatekit.co/)
